title,coffee_type,rating,reviews,price_per_kg
"folgers classic roast ground coffee, medium roast coffee, 25.9 ounce canister","medium roast,classic roast",4.4,740,13.57755685687049
"maxwell house original roast ground coffee, 42.5 oz. canister",,4.8,1321,8.233048385758154
"green mountain coffee roasters french vanilla coffee, keurig single-serve k-cup pods, light roast, 24 count","french,light roast",4.5,1011,21.92827748383304
"community coffee breakfast blend medium roast keurig coffee pods, 24 ct",medium roast,4.8,184,42.82774838330394
"dunkin' french vanilla flavored ground coffee, 20-ounce (packaging may vary)",french,4.7,244,24.55026455026455
"the original donut shop dark coffee, keurig single-serve k-cup pods, dark roast, 24 count",dark roast,4.6,394,21.92827748383304
"seattle's best coffee decaf portside blend medium roast ground coffee, 12 oz",medium roast,4.7,321,23.42739564961787
"newman's own organics special blend keurig single-serve k-cup pods, medium roast coffee, 24 count",medium roast,4.4,1504,21.92827748383304
"folgers black silk ground coffee, smooth dark roast coffee, 33.7ounce canister","black silk ground coffee,dark roast",4.9,20,14.632614611680971
"folgers black silk ground coffee, smooth dark roast coffee, 22.6ounce canister","black silk ground coffee,dark roast",4.6,11,16.10738255033557
"folgers lively colombian decaf, medium-dark roast coffee, k-cup pods, 24-count","colombian,medium-dark roast,dark roast",4.6,714,21.92827748383304
